,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
96, Blaine,16013960200,0.936,0.468,0.3737,0.2694,0.2963,24.86224380680737,0.0,39.25000000000006,23.33903518624319,182.85965518404848,7568.0
97, Blaine,16013960300,0.2761,0.0707,0.3636,0.0572,0.037,7.888411437853884,0.0,41.99000000000001,20.883538961436614,201.86136647403092,2769.0
98, Blaine,16013960500,0.6532,0.1785,0.4175,0.0842,0.0505,21.2213542913998,0.0,39.57000000000005,22.53458845831083,209.27213096573325,2181.0
99, Boise,16015950200,0.1953,0.4007,0.3401,0.4478,0.5589,64.61141832735501,0.0,54.29000000000002,31.469132368585853,392.17027057614456,5754.0
100, Bonner,16017950100,0.0269,0.165,0.2694,0.5522,0.2121,85.26491930782781,0.0,31.33000000000004,20.88354219661934,342.8092539627591,1837.0
101, Bonner,16017950200,0.0943,0.3805,0.8114,0.5185,0.229,92.362693214958,0.0,30.99000000000001,24.411961368137632,302.90600227933123,6581.0
102, Bonner,16017950300,0.2795,0.6902,0.835,0.6667,0.5926,27.381256316786217,0.0,27.730000000000015,22.744370929683864,305.78041848327666,2730.0
103, Bonner,16017950400,0.0168,0.3401,0.8485,0.697,0.1313,90.99816886248722,0.0,30.69000000000005,22.402991179137047,303.19769191227186,5303.0
104, Bonner,16017950500,0.0438,0.569,0.5017,0.4882,0.8485,58.58659365404191,0.0,30.610000000000014,24.274497110040432,330.6032226537447,2576.0
105, Bonner,16017950600,0.0101,0.3973,0.6801,0.4781,0.4276,86.85917131820244,0.0,33.79000000000002,21.69931531111437,320.21174405026227,1505.0
106, Bonner,16017950700,0.3569,0.5758,0.6128,0.2525,0.7003,59.88683013396283,0.0,33.73000000000002,25.77307306375653,325.2335768033162,3455.0
107, Bonner,16017950800,0.0842,0.4108,0.2626,0.5758,0.7374,80.15690390469626,0.0,32.71000000000004,25.191710508137763,307.1057749648155,4485.0
108, Bonner,16017950900,0.1414,0.2054,0.202,0.771,0.2357,63.25321913428611,0.0,33.190000000000055,23.09357234141232,303.12700607396073,3273.0
109, Bonneville,16019970100,0.0774,0.0269,0.1077,0.1818,0.0202,63.11535309224773,0.0,38.99000000000001,24.827460592609985,123.18908310055606,3521.0
110, Bonneville,16019970300,0.3131,0.1549,0.2795,0.1515,0.1919,90.53747825216207,0.0,33.610000000000014,31.204141500616377,131.69699409378956,4271.0
111, Bonneville,16019970401,0.633,0.1616,0.0976,0.1987,0.1852,71.52155769864528,0.0,34.93000000000001,32.105213866748215,124.236784436354,1580.0
112, Bonneville,16019970402,0.2256,0.1919,0.0943,0.3872,0.3939,84.32720247021065,0.0,35.23000000000002,32.8243644675777,121.34113825838578,2435.0
113, Bonneville,16019970403,0.835,0.5084,0.3232,0.3098,0.4444,47.40265221590112,0.0,33.85000000000002,33.08567058022806,121.91896685108918,7041.0
