COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioeconomic Status,Household Composition and Disability,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,Area,PM-2-5,Heatwave,Density_Population,Year
Bannock,16005001300,0.6182,0.4646,0.8209,0.2593,0.5253,7.401192084044353,3.0222425460815447,50.910000000000025,42.96939712069399,533.3241616487504,2731.0,1.278793555,2684.0964409721864,85285.0,2135.60663433278,2017
Bannock,16005001400,0.7128,0.4377,0.7466,0.7273,0.5892,8.228814752048432,3.0222425460815447,51.59000000000003,42.87428579492516,533.1886232200726,4585.0,4.462301707000001,2693.7759306979733,138926.0,1027.49663762258,2017
Bannock,16005001500,0.9189,0.899,0.8953,0.9865,0.4141,14.936852141724502,3.0222425460815447,51.47000000000003,41.30691192980089,532.8130450899315,5469.0,7.602850472,2827.643901900778,162686.0,719.335467682995,2017
Bannock,16005001601,0.7297,0.9596,0.6791,0.3401,0.2828,3.507386970571403,3.0222425460815447,51.77000000000004,43.02861749709115,533.3241616487505,2809.0,1.92915374,2713.677246926524,76852.0,1456.0788711427426,2017
Bannock,16005001602,0.5101,0.3434,0.5236,0.7677,0.5017,7.960152125344488,3.0222425460815447,51.77000000000004,41.22016431357456,534.164236647849,4103.0,4.637831555,2498.2871299431763,103675.0,884.6806856485757,2017
Bannock,16005001603,0.7027,0.9461,0.6385,0.266,0.3266,3.2049739636879613,3.0222425460815447,51.410000000000025,41.45551675557138,533.3869447545452,2750.0,6.502802505,2363.0359277822613,81717.0,422.89459012257055,2017
Bannock,16005001700,0.0473,0.1549,0.0473,0.2862,0.064,18.03154225386271,0.0,50.650000000000034,38.75477714690618,539.9915699657689,3563.0,14.13905235,2445.625744876533,81412.0,251.9970866364322,2017
Bannock,16005001900,0.4628,0.5488,0.4054,0.8956,0.1212,59.45694318167162,0.0,56.33000000000004,36.68864082857837,430.9893902259744,5238.0,1714.685489,1596.060584834139,69055.0,3.054787617672549,2017
Bannock,16005940000,0.7905,0.4175,0.9189,0.7811,0.6768,54.63942895052954,3.0222425460815447,57.01000000000005,33.41372844020545,550.2351079536098,2184.0,473.2594778,1899.3267360677985,50455.0,4.614804567998448,2017
Bannock,16005981800,0.0203,0.0471,0.1115,0.229,0.0101,57.29448826892239,3.0222425460815447,54.31,32.773479019947224,546.6665291010854,314.0,268.1623937,1560.4005648269194,9633.0,1.170932268568872,2017
Bear Lake,16007950100,0.5,0.6902,0.375,0.6869,0.3333,54.02902601961351,0.0,56.51000000000005,34.67576560994348,371.1375557390328,3208.0,1310.488047,1489.3368625978462,11810.0,2.447942968532852,2017
Bear Lake,16007950200,0.0912,0.0875,0.1926,0.4579,0.0606,84.83772612440006,0.0,52.110000000000014,30.12273858534801,358.74000888007055,2371.0,1408.743127,1421.713141327759,895.0,1.6830605626798565,2017
Benewah,16009940000,0.848,0.7609,0.8311,0.9192,0.5387,91.57623321565148,0.0,50.21000000000004,32.19359342720956,1330.682104061014,4478.0,966.7692905,2458.869381727417,72608.0,4.631922056278845,2017
Benewah,16009950100,0.7568,0.9663,0.7027,0.7643,0.1178,98.81267067162328,0.0,46.33000000000004,29.892158101229786,1335.2649160010085,4686.0,1064.055938,2274.059068547765,89408.0,4.403903810553238,2017
Bingham,16011940000,0.9527,0.6364,0.9932,0.9394,0.8182,43.09971016593374,0.0,58.75000000000006,38.43095005151155,574.4864055844414,2952.0,911.540634,1750.3045113357227,55004.0,3.2384732944335206,2017
Bingham,16011950100,0.3851,0.2963,0.5203,0.2222,0.5758,74.46954870981288,0.0,52.03000000000003,33.52767069698716,559.7372545585263,8526.0,102.6422403,2972.6880483135446,79212.0,83.06521735184691,2017
Bingham,16011950200,0.375,0.367,0.3378,0.7946,0.2727,61.35012532991401,0.0,56.43000000000001,33.91590648970925,545.6331330028486,3989.0,1234.569097,1544.8692778158909,45155.0,3.2310868704661897,2017
Bingham,16011950300,0.8547,0.633,0.6588,0.9057,0.936,22.19262636482753,0.0,63.150000000000034,41.95466209331676,608.7017403116462,6169.0,2846.346486,2014.561516983956,108359.0,2.167339791674259,2017
Bingham,16011950400,0.5034,0.5387,0.3547,0.4646,0.6431,70.11921756001325,0.0,49.51000000000005,35.41048208959435,567.9371361976603,7163.0,87.07615673000001,2678.084799336788,116015.0,82.2613246724997,2017
Bingham,16011950500,0.9088,0.8653,0.7331,0.8418,0.862,55.69731495467665,0.0,49.51000000000005,33.110218357380795,568.2835225108313,8140.0,50.7237104,2770.9867793644644,141659.0,160.47721934789692,2017
Bingham,16011950600,0.625,0.4781,0.6486,0.1684,0.8687,62.06380453747244,0.0,53.690000000000055,34.59592707869928,620.9004176640593,5545.0,87.19915159,2727.0267598665323,87067.0,63.590068239103154,2017
Bingham,16011950700,0.5642,0.1044,0.625,0.9024,0.7879,73.26089223908296,0.0,55.05000000000001,32.95217142121546,610.7522212069587,4999.0,170.9815769,2495.3737195585045,99067.0,29.23706805513735,2017
Blaine,16013960100,0.3581,0.3468,0.1791,0.3872,0.7609,28.21806245787962,0.0,64.15000000000003,43.89478106405927,645.0109296039934,5176.0,4303.847844,2015.0439228944597,52669.0,1.2026447466575447,2017
Blaine,16013960200,0.4527,0.2256,0.4088,0.3569,0.899,76.77918300154803,0.0,55.73000000000002,33.91286022011929,635.8813696363106,10521.0,815.4956252000001,1766.544295725415,55664.0,12.90135676377139,2017
Blaine,16013960300,0.1791,0.5657,0.0439,0.0572,0.5354,35.61113214419988,0.0,55.110000000000014,30.03918249023873,583.4599247539309,3912.0,1475.549587,1623.8547311088162,2442.0,2.6512155433241973,2017
Blaine,16013960500,0.3378,0.5791,0.1351,0.1414,0.7946,64.41712984025257,0.0,49.910000000000025,30.81504998549961,553.2846920236792,3121.0,281.2595195,1775.1040435908076,3344.0,11.096513303970143,2017
Boise,16015950200,0.348,0.4579,0.3919,0.4512,0.1919,71.70912706079811,0.0,59.97000000000003,33.87077700888074,939.921656697192,7157.0,4939.536236,1973.5645333325408,161142.0,1.4489214489082656,2017
Bonner,16017950100,0.3142,0.2559,0.4628,0.8519,0.0774,84.8342645521701,0.0,41.13000000000005,24.986227918752107,1531.5256841728267,2526.0,1196.886214,2051.065816316553,9109.0,2.11047630965528,2017
Bonner,16017950200,0.4122,0.8148,0.1993,0.569,0.1852,91.93313524344838,0.0,46.03000000000003,28.07212387943481,1598.8796641376584,8946.0,636.5128899,2399.253674945955,67667.0,14.054703591949991,2017
Bonner,16017950300,0.5743,0.9091,0.5473,0.3064,0.1044,25.76915034808063,0.0,43.51000000000005,29.76380908883804,1644.2295534931377,3557.0,6.960543615000001,4419.301829339163,18447.0,511.0233046072221,2017
Bonner,16017950400,0.5203,0.9226,0.3412,0.7037,0.0303,95.31074522089176,0.0,42.190000000000055,27.821748145509773,1529.590414365664,7191.0,331.4086925,2296.343848673294,31255.0,21.69828421141971,2017
Bonner,16017950500,0.6318,0.6566,0.7872,0.5825,0.1684,93.90814755936134,0.0,43.57000000000005,29.981796008281343,1467.4376528922735,3536.0,167.77490680000002,2779.886320315667,56496.0,21.07585733434602,2017
Bonner,16017950600,0.2838,0.33,0.3885,0.7744,0.0438,92.45136070341916,0.0,44.690000000000055,27.080908620966945,1479.5760821209417,2048.0,1444.71608,2113.624431812925,25060.0,1.4175795703748242,2017
Bonner,16017950700,0.6892,0.7374,0.7736,0.899,0.0404,96.274047372911,0.0,45.99000000000001,30.751355403668004,1403.7337684598726,4680.0,327.4438647,2612.679470714881,63510.0,14.2925261534149,2017
Bonner,16017950800,0.2939,0.1785,0.7432,0.3232,0.0943,89.0131787121035,0.0,45.05000000000001,29.979119804998792,1416.123687963527,6050.0,612.3831422000001,2642.030046380919,40288.0,9.879435900644228,2017
