,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
70,Ada,16001010228,0.4505,0.2308,0.1934,0.2418,0.3363,63.70098638882983,,32.93000000000001,32.34550817864365,,812.0
71,Ada,16001010229,0.778,0.2923,0.5297,0.4484,0.0352,67.39175729000878,,40.55000000000001,33.85302115957526,,618.0
72,Ada,16001010230,0.0835,0.0308,0.0418,0.0527,0.222,16.816597456082828,,42.57000000000005,39.25460335038011,,2040.0
73,Ada,16001010231,0.178,0.0571,0.1275,0.3648,0.0066,89.30396561938204,,33.43000000000001,32.195523997884294,,991.0
74,Ada,16001010232,0.1143,0.1011,0.3077,0.1802,0.0505,88.70330151295704,,32.53000000000003,31.641691747572867,,1702.0
75,Ada,16001010233,0.3473,0.5538,0.6615,0.2615,0.7121,89.14531942341543,,32.35000000000002,30.540116277054864,,1362.0
76,Ada,16001010234,0.4132,0.3956,0.5341,0.6835,0.1714,62.78296609831831,,33.97000000000003,32.42476371999914,,2530.0
77,Ada,16001010235,0.6352,0.2352,0.1451,0.4396,0.2264,86.86750479012876,,33.650000000000034,32.55971167990586,,2793.0
78,Ada,16001010236,0.1582,0.2066,0.2791,0.3495,0.2154,75.04544732997489,,33.73000000000002,32.54013212015459,,1815.0
79,Ada,16001010237,0.4352,0.5121,0.6769,0.3516,0.4989,71.05576383025142,,36.27000000000004,34.63553704715096,,2300.0
80,Ada,16001010336,0.1033,0.0022,0.0,0.0571,0.0901,71.35089979921486,,33.79000000000002,31.66103261169715,,1198.0
81,Ada,16001010337,0.3473,0.1055,0.0637,0.5231,0.0989,64.31288998492333,,35.110000000000014,32.32013947030741,,1894.0
82,Ada,16001010338,0.1934,0.0418,0.0505,0.2286,0.0681,67.47945400561993,,35.110000000000014,34.24461750834007,,2261.0
83,Ada,16001010339,0.2484,0.011,0.1121,0.0286,0.0176,55.02395872845739,,33.150000000000034,32.280248693395095,,934.0
84,Ada,16001010340,0.1978,0.7451,0.8879,0.7956,0.5758,52.50810914092388,,35.13000000000005,34.361838588707606,,2167.0
85,Ada,16001010341,0.4418,0.0132,0.0396,0.0703,0.0286,65.93020556651568,,33.21000000000004,32.94796073166641,,1613.0
86,Ada,16001010342,0.5451,0.0901,0.1363,0.1099,0.1297,51.14021212750285,,33.21000000000004,32.956559881048975,,1555.0
87,Ada,16001010343,0.3341,0.0527,0.1011,0.0769,0.1429,40.92796797847736,,35.07000000000005,34.31620080541831,,1387.0
88,Ada,16001010344,0.6308,0.3495,0.2418,0.5824,0.2923,51.78764482927272,,35.13000000000005,34.00602740664616,,1806.0
89,Ada,16001010345,0.5385,0.2725,0.2989,0.3011,0.2769,62.357894240294456,,33.950000000000045,33.32997282977856,,1700.0
90,Ada,16001010346,0.3011,0.0945,0.1582,0.2352,0.0835,59.58323374385135,,33.910000000000025,32.643124576918915,,548.0
91,Ada,16001010347,0.4879,0.7319,0.9473,0.6967,0.4352,46.3053095184618,,35.27000000000004,34.91052497416474,,2405.0
92,Ada,16001010348,0.622,0.4132,0.4022,0.1275,0.644,62.79651687803581,,35.09000000000003,34.29424680475985,,2164.0
93,Ada,16001010349,0.3341,0.0044,0.0,0.0132,0.1604,78.01547036285177,,33.170000000000016,31.7768972836982,,1484.0
94,Ada,16001010350,0.7055,0.2659,0.0,0.2176,0.8198,87.9411418327423,,34.150000000000034,33.30427712489755,,1726.0
95,Ada,16001010351,0.1868,0.2571,0.0,0.7978,0.5692,57.85967018455248,,33.610000000000014,32.83189099741916,,1016.0
96,Ada,16001010352,0.4549,0.0396,0.0945,0.0176,0.1473,79.37945954740205,,34.59000000000003,33.882156285542294,,3505.0
97,Ada,16001010353,0.4989,0.0374,0.0,0.3934,0.022,76.40347664254529,,33.610000000000014,33.40799777375818,,1925.0
98,Ada,16001010354,0.2923,0.0703,0.1055,0.2484,0.0967,77.75491325114687,,33.43000000000001,32.32162657189724,,2988.0
99,Ada,16001010355,0.3011,0.0198,0.0923,0.0615,0.0132,87.4187664879707,,32.93000000000001,30.26276343759487,,320.0
100,Ada,16001010356,0.7385,0.0,0.0,0.044,0.0022,75.04979681259374,,33.43000000000001,32.74585947480485,,875.0
101,Ada,16001010357,0.8088,0.0242,0.0703,0.167,0.0,87.81155067598873,,32.150000000000034,30.4113392189137,,1508.0
102,Ada,16001010358,0.3538,0.0462,0.2066,0.0593,0.0198,55.651336991974695,,33.43000000000001,32.56616772895007,,952.0
103,Ada,16001010359,0.5495,0.3802,0.2264,0.5033,0.4967,70.85930109825185,,33.73000000000002,33.632421592073804,,2648.0
104,Ada,16001010360,0.4989,0.0549,0.0967,0.1407,0.0527,68.71211867528385,,33.370000000000005,32.575218825146,,2690.0
105,Ada,16001010361,0.5604,0.0791,0.0,0.0418,0.4813,81.31886887047047,,33.370000000000005,32.451038593655355,,3014.0
106,Ada,16001010362,0.3341,0.1429,0.0352,0.5846,0.2308,76.14901555358806,,33.73000000000002,33.64223840306886,,2932.0
107,Ada,16001010363,0.4703,0.1165,0.0659,0.4374,0.1538,64.37434971021202,,33.73000000000002,33.612905428243124,,1927.0
108,Ada,16001010364,0.8242,0.4022,0.3451,0.7143,0.2,72.29023986749856,,34.99000000000001,34.33611573576799,,2716.0
109,Ada,16001010365,0.3143,0.1121,0.178,0.3363,0.0703,66.70595431546629,,33.73000000000002,33.61412479740685,,1911.0
110,Ada,16001010366,0.4418,0.1692,0.0769,0.2659,0.3692,61.20795019478611,,35.150000000000034,34.29739270312826,,1877.0
111,Ada,16001010367,0.5846,0.833,0.7077,0.9055,0.7407,71.81684474989525,,35.150000000000034,34.24733072066189,,3400.0
112,Ada,16001010368,0.4352,0.5011,0.5099,0.2835,0.7011,38.29262183727484,,35.71000000000004,35.221174915905884,,1955.0
113,Ada,16001010369,0.1407,0.0615,0.2747,0.0352,0.1011,47.59266708809836,,35.71000000000004,35.44359426328023,,1150.0
114,Ada,16001010370,0.7912,0.644,0.9143,0.6527,0.2198,42.374077273316864,,35.71000000000004,34.97813999734853,,1665.0
115,Ada,16001010371,0.9165,0.4154,0.4,0.3648,0.3121,59.282732088051816,,34.63000000000005,34.06113098868337,,1359.0
116,Ada,16001010403,0.1143,0.033,0.0747,0.1055,0.0923,84.84360605136013,,32.57000000000005,30.10866370919438,,1829.0
117,Ada,16001010404,0.4132,0.5143,0.4549,0.4615,0.6527,65.7893885186875,,32.97000000000003,32.68660426454648,,2559.0
118,Ada,16001010405,0.1714,0.3099,0.2615,0.3055,0.5275,51.931586413955465,,32.51000000000005,31.95329355608593,,1124.0
119,Ada,16001010406,0.1736,0.1363,0.0813,0.7495,0.0813,59.02194329943276,,32.93000000000001,32.10176191131922,,3108.0
120,Ada,16001010407,0.7846,0.2945,0.2374,0.3736,0.2615,76.8305985111844,,32.97000000000003,30.54105056540978,,1916.0
121,Ada,16001010408,0.3538,0.178,0.611,0.0813,0.0725,80.56122063455537,,32.950000000000045,30.500496477590232,,1830.0
