,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Smoke,LST-Max,LST-Mean,Popultatuion
174,Gooding,16047960200,0.759,0.6881,0.426,0.6594,0.9426,65.26436325142039,,52.01000000000005,36.9949545619588,6341.0
175,Idaho,16049960100,0.322,0.3906,0.806,0.258,0.086,86.3149538159316,,46.55000000000001,21.358804166918244,1711.0
176,Idaho,16049960200,0.731,0.8745,0.799,0.8279,0.1111,80.58043619761327,,51.79000000000002,33.980282203986945,5253.0
177,Idaho,16049960300,0.483,0.6129,0.795,0.2616,0.2759,67.3996749663486,,51.29000000000002,40.16781473146338,1771.0
178,Idaho,16049960400,0.537,0.5842,0.788,0.6774,0.025,81.89971658527854,,51.79000000000002,23.31222778870979,1112.0
179,Idaho,16049960500,0.835,0.6415,0.942,0.8673,0.4408,81.68292503116564,,48.29000000000002,41.64354630653298,3492.0
180,Jefferson,16051960100,0.784,0.6666,0.888,0.2473,0.9641,30.94744221038277,,49.85000000000002,40.4610236496658,2515.0
181,Jefferson,16051960200,0.372,0.1648,0.415,0.4874,0.5913,86.49897886386978,,45.63000000000005,35.3463715539953,2647.0
182,Jefferson,16051960300,0.799,0.6845,0.652,0.7455,0.7096,83.04351658453852,,42.55000000000001,37.33340631574423,4486.0
183,Jefferson,16051960400,0.293,0.3225,0.634,0.1505,0.3727,86.55352328123473,,42.79000000000002,35.89979300562744,6884.0
184,Jerome,16053970100,0.688,0.3118,0.659,0.577,0.9283,38.88646754163835,,55.950000000000045,39.41907346585676,2172.0
185,Jerome,16053970200,0.874,0.8279,0.516,0.6989,0.9426,73.44639503743771,,52.35000000000002,36.5280359263969,3066.0
186,Jerome,16053970300,0.81,0.5878,0.612,0.81,0.8315,94.82840965411592,,35.81,28.081773213879,3561.0
187,Jerome,16053970400,0.87,0.3584,0.781,0.9462,0.8996,65.16160963058813,,35.21000000000004,32.66400669127824,2234.0
188,Jerome,16053970500,0.663,0.7275,0.433,0.3584,0.8888,61.20266940904536,,47.27000000000004,33.99027157970123,4960.0
189,Kootenai,16055000100,0.469,0.3046,0.845,0.4982,0.2724,91.67576053553172,,42.450000000000045,27.420166794725134,4196.0
190,Kootenai,16055000200,0.225,0.2114,0.551,0.448,0.0896,93.57920452612896,,42.450000000000045,27.909931087513552,5898.0
191,Kootenai,16055000300,0.286,0.4372,0.44,0.3906,0.2043,84.2136758661784,,41.79000000000002,30.274852100085223,7903.0
192,Kootenai,16055000400,0.627,0.853,0.483,0.7383,0.2437,73.80916200228368,,42.09000000000003,32.01503546915729,8747.0
193,Kootenai,16055000500,0.498,0.3297,0.734,0.6164,0.2903,34.73196720763864,,41.05000000000001,38.25776654276771,7723.0
194,Kootenai,16055000600,0.379,0.3763,0.562,0.5913,0.1397,40.51598628435698,,38.79000000000002,35.41476285764103,7118.0
195,Kootenai,16055000700,0.519,0.6451,0.376,0.8709,0.1362,62.54331640523838,,41.79000000000002,36.29552217605559,11348.0
196,Kootenai,16055000800,0.164,0.1577,0.469,0.3548,0.1039,44.65239743369411,,38.49000000000001,33.87136799502913,2771.0
197,Kootenai,16055000900,0.881,0.9964,0.967,0.9498,0.1003,19.061911338563046,,35.27000000000004,32.868476939578215,3492.0
198,Kootenai,16055001000,0.261,0.405,0.408,0.3799,0.1971,79.61571414207155,,39.610000000000014,33.48870258463781,6638.0
199,Kootenai,16055001100,0.071,0.0,0.143,0.2652,0.2939,89.24336586492747,,35.610000000000014,30.981909824768703,1401.0
200,Kootenai,16055001200,0.534,0.7419,0.444,0.8458,0.0358,44.24056818368157,,35.27000000000004,33.506285774677686,4297.0
201,Kootenai,16055001300,0.777,0.7347,0.824,0.8996,0.2795,46.00951272133331,,33.650000000000034,32.169302989906704,2508.0
202,Kootenai,16055001400,0.451,0.81,0.462,0.2724,0.3297,27.99038548130487,,31.49000000000001,25.653845542192624,1806.0
203,Kootenai,16055001500,0.448,0.3189,0.537,0.7813,0.2329,77.84374694661102,,31.49000000000001,29.21884233518669,2217.0
204,Kootenai,16055001600,0.584,0.7025,0.702,0.3369,0.4695,52.52600205676429,,29.470000000000027,26.34660122304477,1751.0
205,Kootenai,16055001700,0.114,0.2867,0.243,0.1648,0.1146,90.31706045856504,,36.85000000000002,25.961889778897067,2835.0
206,Kootenai,16055001800,0.05,0.0681,0.071,0.1935,0.301,84.29765388083894,,38.21000000000004,24.40632552853924,5387.0
207,Kootenai,16055001900,0.358,0.6308,0.494,0.4516,0.0322,93.9391416021657,,37.53000000000003,23.05486210807096,1740.0
208,Kootenai,16055002000,0.021,0.0501,0.229,0.1111,0.1433,87.01189545893705,,37.910000000000025,26.35449897330987,2190.0
209,Kootenai,16055002100,0.623,0.1684,0.756,0.7275,0.663,70.8681826887669,,43.690000000000055,30.46230128496577,1546.0
210,Latah,16057005100,0.634,0.8924,0.917,0.0107,0.5089,83.02302568799666,,42.13000000000005,39.205867692008816,6274.0
211,Latah,16057005200,0.207,0.5197,0.297,0.0824,0.3082,91.08784226491194,,41.57000000000005,35.90880784765805,4895.0
212,Latah,16057005300,0.301,0.7168,0.577,0.0215,0.172,88.849558669606,,42.190000000000055,39.86860626660462,5275.0
213,Latah,16057005400,0.745,0.982,1.0,0.0143,0.6594,90.79088395009104,,42.690000000000055,40.04801140247008,5331.0
214,Latah,16057005500,0.283,0.491,0.491,0.362,0.1146,90.74714347464275,,42.610000000000014,32.125253089069176,3060.0
215,Latah,16057005600,0.218,0.0896,0.53,0.387,0.2544,97.1534185962988,,43.47000000000003,32.70354275691497,2790.0
216,Latah,16057005700,0.157,0.3476,0.318,0.3189,0.043,90.1057101677657,,46.170000000000016,38.68121465528178,2395.0
217,Lemhi,16059980100,0.426,0.1792,0.709,0.7956,0.129,28.07206396129692,,45.370000000000005,21.08035633808851,2212.0
218,Lemhi,16059980200,0.609,0.6021,0.849,0.7168,0.1075,49.8851069396095,,45.07000000000005,25.653783310612425,2575.0
219,Lemhi,16059980300,0.405,0.2293,0.881,0.5519,0.0716,20.366883091194843,,49.450000000000045,28.94891787868229,2032.0
220,Lewis,16061950100,0.763,0.448,0.784,0.9103,0.5806,78.43953564459633,,48.29000000000002,41.2068707941139,1447.0
221,Lewis,16061950200,0.204,0.1039,0.379,0.4767,0.2293,89.21961344654278,,46.870000000000005,37.2313352592274,1761.0
222,Lewis,16061950300,0.24,0.2688,0.448,0.4014,0.2078,80.42186370919185,,50.07000000000005,37.39336712690663,31.0
223,Lincoln,16063950100,0.838,0.7706,0.749,0.5376,0.8351,11.477569941227715,,55.99000000000001,44.76347232564712,3546.0
224,Madison,16065950100,0.154,0.0967,0.326,0.1469,0.4516,65.4858609631764,,47.05000000000001,38.36534800855279,4079.0
225,Madison,16065950200,0.842,0.9784,0.835,0.534,0.5519,50.14669687810189,,37.950000000000045,36.630850468379535,2041.0
226,Madison,16065950301,0.544,0.9856,0.96,0.0,0.1505,58.56161224258497,,38.59000000000003,38.397168821435294,3708.0
227,Madison,16065950302,0.577,0.9892,0.992,0.0071,0.2007,73.30149617297563,,38.370000000000005,37.12096569400629,6782.0
228,Madison,16065950400,0.494,0.8673,0.713,0.0681,0.3082,89.81798032425078,,43.190000000000055,30.555063642483866,4072.0
229,Madison,16065950500,0.415,0.4193,0.716,0.172,0.4551,94.22820446783726,,41.950000000000045,34.07761883778478,3348.0
230,Minidoka,16067980100,0.591,0.129,0.455,0.7347,0.9068,76.3766731989878,,46.89000000000004,33.545512669532364,2882.0
231,Minidoka,16067980200,0.655,0.4587,0.519,0.5232,0.8745,82.6600766618914,,39.07000000000005,30.935459169235045,4837.0
